wine_name,link,country,type,grape,classification,description,evaluation,rating_count,lowest_price,full_price,discount
Tokaji Pajzos Icewine 2003 375 ml,wine.com.br/vinhos/tokaji-pajzos-icewine-2003-375-ml/prod11549.html,Hungria,branco,Furmint (100.00%),Suave/Doce,"Doce, equilibrado, acidez agradável, final longo",0.0,0.0,808.9,808.9,0.0
Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml,wine.com.br/vinhos/beni-di-batasiolo-muscatel-tardi-d-o-c-piemonte-moscato-passito-2011-375-ml/prod14639.html,Itália,branco,Moscato Bianco (100%),Suave/Doce,"Persistente, doce, estruturado, intenso e com notas de mel. ",4.0,2.0,306.94,584.9,0.47522653445033336
Quinta do Cardo D.O.C. Beira Interior Síria Branco 2017,wine.com.br/vinhos/quinta-do-cardo-d-o-c-beira-interior-siria-branco-2017/prod22375.html,Portugal,branco,Síria (100.00%),Seco,"Corpo de leve para médio, boa acidez, frutado",4.0,26.0,82.24,119.9,0.314095079232694
Viña de Santa Isabel Chardonnay 2019,wine.com.br/vinhos/vina-de-santa-isabel-chardonnay-2019/prod23216.html,Argentina,branco,Chardonnay (100.00%),Seco,"Leve, acidez agradável",0.0,0.0,41.06,49.9,0.17715430861723436
Perdigón Chardonnay 2019,wine.com.br/vinhos/perdigon-chardonnay-2019/prod23381.html,Argentina,branco,Chardonnay (100.00%),Seco,"Bela acidez, leve, jovem e fresco",4.0,40.0,49.9,49.9,0.0
A Galet Blanco,wine.com.br/vinhos/a-galet-blanco/prod23414.html,Espanha,branco,"Tempranillo Blanco (80.00%), Verdejo (20.00%)",Seco,"Boa acidez, equilibrado e final longo",3.5,25.0,49.9,49.9,0.0
Carpineto Dogajolo I.G.T. Toscano Bianco 2017,wine.com.br/vinhos/carpineto-dogajolo-i-g-t-toscano-bianco-2017/prod20101.html,Itália,branco,"Chardonnay, Sauvignon Blanc, Grechetto",Seco,"Leve, frutado, floral, mineral, boa acidez, final agradável",4.5,38.0,94.0,124.9,0.24739791833466773
Apothic White 2016,wine.com.br/vinhos/apothic-white-2016/prod20393.html,Estados Unidos,branco,"Pinot Grigio , Chardonnay, Riesling",Meio Seco/Demi-Sec,"Frutado, acidez agradável, doçura discreta",4.5,17.0,108.12,141.9,0.23805496828752648
Undurraga Finca Las Lomas Sauvignon Gris 2019,wine.com.br/vinhos/undurraga-finca-las-lomas-sauvignon-gris-2019/prod23329.html,Chile,branco,Sauvignon Gris,Seco,"Boa acidez, refrescante, vivo",4.0,50.0,52.82,78.9,0.3305449936628644
Que Guapo Branco 2018,wine.com.br/vinhos/que-guapo-branco-2018/prod22093.html,Argentina,branco,"Chardonnay (50%), Viognier (35%), Torrontés (15%)",Seco,"Frutado, leve, acidez agradável",4.0,14.0,58.71,77.9,0.24634146341463414
